GaitPhase,pMMGMean_5,NewCol5
56.95695696,-0.072276973,0.200406729
57.05705706,-0.064208816,0.224849559
57.15715716,-0.05312171,0.228972564
57.25725726,-0.049814189,0.231423534
57.35735736,-0.049102436,0.234563917
57.45745746,-0.050966445,0.237704301
57.55755756,-0.053862722,0.240844684
57.65765766,-0.058056433,0.243985067
57.75775776,-0.060483164,0.24712545
57.85785786,-0.064182353,0.247505029
57.95795796,-0.073608506,0.247498831
58.05805806,-0.082446156,0.247492632
58.15815816,-0.091755814,0.233188121
58.25825826,-0.100239433,0.222942636
58.35835836,-0.109046811,0.245275175
58.45845846,-0.120248921,0.267607714
58.55855856,-0.134077143,0.268066453
58.65865866,-0.153508404,0.262809453
58.75875876,-0.172875087,0.262110311
58.85885886,-0.182751666,0.267346793
58.95895896,-0.198212165,0.272583275
59.05905906,-0.221523191,0.277819757
59.15915916,-0.248045447,0.273190954
59.25925926,-0.269876693,0.267357195
59.35935936,-0.285963216,0.261523437
59.45945946,-0.303467744,0.255689678
59.55955956,-0.332128865,0.29133315
59.65965966,-0.367940222,0.294822974
59.75975976,-0.402478693,0.296326745
59.85985986,-0.421836669,0.294821147
59.95995996,-0.444438626,0.293315549
60.06006006,-0.482584413,0.291809951
60.16016016,-0.53145496,0.290706124
60.26026026,-0.57570052,0.290699926
60.36036036,-0.597533102,0.290693728
60.46046046,-0.622381592,0.29068753
60.56056056,-0.667658625,0.288841119
60.66066066,-0.72209788,0.27544382
60.76076076,-0.775450077,0.279490929
60.86086086,-0.802430539,0.313094527
60.96096096,-0.826446472,0.318505737
61.06106106,-0.879775655,0.313248738
61.16116116,-0.941175796,0.307991738
61.26126126,-0.99639344,0.30359473
61.36136136,-1.028078287,0.308396437
61.46146146,-1.049193552,0.306640875
61.56156156,-1.116387281,0.304885313
61.66166166,-1.18593455,0.303129751
61.76176176,-1.244685609,0.303428963
61.86186186,-1.2894822,0.304734196
61.96196196,-1.310728377,0.306039428
62.06206206,-1.379834251,0.30734466
62.16216216,-1.453781802,0.308649893
62.26226226,-1.51469045,0.30754426
62.36236236,-1.564962499,0.304913678
62.46246246,-1.587848998,0.302283095
62.56256256,-1.655596022,0.299652513
62.66266266,-1.750560706,0.29702193
62.76276276,-1.817779888,0.295396817
62.86286286,-1.859322147,0.293891219
62.96296296,-1.873794572,0.292385621
63.06306306,-1.934849416,0.290880023
63.16316316,-2.020661403,0.288915982
63.26326326,-2.087607661,0.286810439
63.36336336,-2.143696899,0.284704896
63.46346346,-2.167872309,0.282599353
63.56356356,-2.223115473,0.28049381
63.66366366,-2.309314829,0.278388267
63.76376376,-2.378132245,0.275828456
63.86386386,-2.432988833,0.273197874
63.96396396,-2.462642109,0.270567291
64.06406406,-2.51006928,0.267936708
64.16416416,-2.594905547,0.265690396
64.26426426,-2.670217126,0.265684198
64.36436436,-2.714786448,0.265678
64.46446446,-2.744295898,0.265671802
64.56456456,-2.782970999,0.264509154
64.66466466,-2.865066507,0.262594514
64.76476476,-2.938421561,0.260679874
64.86486486,-2.983069946,0.258765234
64.96496496,-3.013067115,0.256850594
65.06506507,-3.047962018,0.254935954
65.16516517,-3.125031683,0.252753309
65.26526527,-3.190628761,0.24854712
65.36536537,-3.227344895,0.244340932
65.46546547,-3.257812217,0.240547427
65.56556557,-3.28262432,0.238791865
65.66566567,-3.345845918,0.237036303
65.76576577,-3.422892178,0.235280741
65.86586587,-3.451228564,0.232149259
65.96596597,-3.478573902,0.228205722
66.06606607,-3.50478045,0.224262185
66.16616617,-3.557232553,0.220318648
66.26626627,-3.617721005,0.216375111
66.36636637,-3.646048683,0.213627657
66.46646647,-3.672090661,0.210997074
66.56656657,-3.692293887,0.208366492
66.66666667,-3.726391244,0.205735909
66.76676677,-3.775114312,0.203105327
66.86686687,-3.797067398,0.200474744
66.96696697,-3.815136385,0.197844161
67.06706707,-3.834392026,0.197399195
67.16716717,-3.852617614,0.197392997
67.26726727,-3.882824032,0.197386799
67.36736737,-3.896172704,0.19430804
67.46746747,-3.90585835,0.184241935
67.56756757,-3.922046585,0.177670963
67.66766767,-3.928525297,0.171099992
67.76776777,-3.946174617,0.16452902
67.86786787,-3.947915414,0.157958049
67.96796797,-3.942964407,0.202623103
68.06806807,-3.949656278,0.200281835
68.16816817,-3.948189377,0.197940568
68.26826827,-3.941943634,0.1955993
68.36836837,-3.935706285,0.1749035
68.46846847,-3.925213518,0.169894352
68.56856857,-3.924108625,0.163867988
68.66866867,-3.913364029,0.146327426
68.76876877,-3.891137237,0.138505232
68.86886887,-3.87218861,0.134299043
68.96896897,-3.855767597,0.130092854
69.06906907,-3.848537711,0.127798807
69.16916917,-3.838002207,0.126043245
69.26926927,-3.816574346,0.124287683
69.36936937,-3.792381157,0.124215262
69.46946947,-3.774478686,0.130775775
69.56956957,-3.763761401,0.137071896
69.66966967,-3.75133548,0.123021642
69.76976977,-3.730476212,0.109367285
69.86986987,-3.6996858,0.102150414
69.96996997,-3.677900279,0.097944225
