GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,NewColumn,,
27.42742743,-1.387191752,1.951437723,8.502367242,14.79337875,3.59867296,14.61148032,,
27.52752753,-1.42504853,1.952700354,8.619305403,14.90800288,3.649485714,15.19203485,,
27.62762763,-1.420793417,2.002462986,8.756064279,15.011627,3.689866882,15.77258938,,
27.72772773,-1.447301812,2.044725617,8.89299772,15.12175112,3.729656253,16.18245533,,
27.82782783,-1.461810206,2.077342972,9.000931161,15.26246755,3.767945625,16.50221521,,
27.92792793,-1.488318601,2.143478093,9.137864597,15.37181871,3.840234996,16.82197508,,
28.02802803,-1.514123792,2.184955876,9.294990231,15.54475905,3.911977822,17.14173496,,
28.12812813,-1.506423978,2.265433659,9.518217465,15.68769937,3.996885812,17.46149484,,
28.22822823,-1.518666228,2.318911443,9.68466504,15.8271397,4.090840115,17.78125472,,
28.32832833,-1.526514726,2.396889226,9.866454629,15.95808004,4.150679267,18.10101459,,
28.42842843,-1.532863224,2.425511984,10.01924422,16.05610262,4.257518419,18.42077447,,
28.52852853,-1.517211723,2.437976485,10.16753381,16.13284414,4.329357571,18.65694444,,
28.62862863,-1.503560221,2.453154568,10.3173234,16.23598964,4.407196723,18.8893985,,
28.72872873,-1.527408719,2.476543575,10.47511299,16.31292985,4.499035875,19.12185255,,
28.82882883,-1.533328786,2.496647297,10.63234975,16.33727547,4.588902807,19.35430661,,
